date,state,unemployment_rate,percent_error
2022-06-01,Nebraska,3.192792401332311,0.1
2022-06-01,Nevada,7.155401733788891,0.2
2022-06-01,New Hampshire,3.705180590618309,0.2
2022-06-01,New Jersey,6.269670548719237,0.1
2022-06-01,New Mexico,6.480382320772423,0.3
2022-06-01,New York,6.315771754143646,0.1
2022-06-01,North Carolina,5.218059970525258,0.1
2022-06-01,North Dakota,3.10240415752465,0.2
2022-06-01,Ohio,5.199413726902641,0.1
2022-06-01,Oklahoma,4.936168101853076,0.1
2022-06-01,Oregon,5.588578331108409,0.2
2022-06-01,Pennsylvania,5.476135454941976,0.1
2022-06-01,Puerto Rico,14.164159399865184,0.3
2022-06-01,Rhode Island,6.090720536823601,0.3
2022-06-01,South Carolina,5.232162370469745,0.1
2022-06-01,South Dakota,3.063921445848423,0.2
2022-06-01,Tennessee,5.195416421594544,0.1
2022-06-01,Texas,5.33808172962542,0.1
2022-06-01,Utah,3.4328603716725263,0.1
2022-06-01,Vermont,3.8598578471542995,0.3
2022-06-01,Virginia,4.531127987126278,0.1
2022-06-01,Washington,5.138908971952735,0.1
2022-06-01,West Virginia,6.277953256760686,0.2
2022-06-01,Wisconsin,3.4311369914615772,0.1
2022-06-01,Wyoming,4.03479816245473,0.3
2022-07-01,Alabama,5.283201676545226,0.2
2022-07-01,Alaska,6.613784670387888,0.3
2022-07-01,Arizona,5.4585886816193705,0.1
2022-07-01,Arkansas,5.2338539765267,0.2
2022-07-01,California,6.527158718380087,0.1
2022-07-01,Colorado,4.5118563229265485,0.1
2022-07-01,Connecticut,6.04195345465668,0.2
2022-07-01,Delaware,5.505238129598238,0.3
2022-07-01,District of Columbia,7.060655856688819,0.4
2022-07-01,Florida,5.163022022616435,0.1
2022-07-01,Georgia,5.352266985530179,0.1
2022-07-01,Hawaii,5.3018691557998645,0.2
2022-07-01,Idaho,3.866877718395976,0.2
2022-07-01,Illinois,6.153471855264199,0.1
2022-07-01,Indiana,4.620983698925255,0.1
2022-07-01,Iowa,3.829868166878267,0.1
2022-07-01,Kansas,4.054239593215766,0.1
2022-07-01,Kentucky,5.206901593920326,0.1
2022-07-01,Louisiana,6.759738650557524,0.2
2022-07-01,Maine,4.185914953275465,0.2
2022-07-01,Maryland,5.227471038413214,0.1
